"","Helicopsyche","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.404466666666667,0.224222044332647,0.584711289000686,"DS_Tim",0.104466666666667,0.0575898406506773,0.151343492682656
"DS_Mag_50","DS_Mag_50",0.441233333333333,0.301995021506691,0.580471645159976,"DS_Mag_50",0.1046,0.0623057613379789,0.146894238662021
"DS_Mag_90","DS_Mag_90",0.456633333333333,0.401987801911877,0.511278864754789,"DS_Mag_90",0.0941333333333333,0.0492212758728547,0.139045390793812
"SP_ROC","SP_ROC",0.123966666666667,0.0447776738372757,0.203155659496058,"SP_ROC",0.0241333333333333,0.0047545095988201,0.0435121570678466
"SP_Dur","SP_Dur",0.548266666666667,0.389491465799739,0.707041867533595,"SP_Dur",0.0885333333333333,0.0387472756330762,0.13831939103359
"SP_Mag","SP_Mag",0.732533333333333,0.651182259890303,0.813884406776364,"SP_Mag",0.303333333333333,0.129521987278672,0.477144679387995
"SP_Tim","SP_Tim",0.4831,0.30105043907496,0.66514956092504,"SP_Tim",0.155733333333333,0.0448911164963658,0.266575550170301
"Wet_BFL_Dur","Wet_BFL_Dur",0.473,0.300212847210795,0.645787152789205,"Wet_BFL_Dur",0.105933333333333,0.0621574525616877,0.149709214104979
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.418566666666667,0.243560881775614,0.593572451557719,"Wet_BFL_Mag_10",0.1564,0.0514972825328152,0.261302717467185
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.3574,0.249833716081664,0.464966283918336,"Wet_BFL_Mag_50",0.0593333333333333,0.0274731831558258,0.0911934835108409
"Wet_Tim","Wet_Tim",0.444066666666667,0.292067242377187,0.596066090956147,"Wet_Tim",0.0996,0.0534147511428162,0.145785248857184
"DS_Dur_WS","DS_Dur_WS",0.369,0.166725750618127,0.571274249381873,"DS_Dur_WS",0.0172,0.00731656517196577,0.0270834348280342
"Q99","Q99",0.5225,0.460038183351747,0.584961816648253,"Q99",0.111533333333333,0.0619844390032544,0.161082227663412
"FA_Dur","FA_Dur",0.606633333333333,0.369938954637232,0.843327712029434,"FA_Dur",0.116933333333333,0.0596405910239157,0.174226075642751
"FA_Mag","FA_Mag",0.553033333333333,0.543548784512576,0.562517882154091,"FA_Mag",0.0845333333333333,0.0703046467694465,0.0987620198972202
"FA_Tim","FA_Tim",0.2019,0.11257727382687,0.29122272617313,"FA_Tim",0.0368,0.0112770669397109,0.0623229330602891
