"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.656,0.312,0.418,0.312,1,1,"Agabus","glm"
"2",2,0.591,0.182,0.277,0.182,1,1,"Agabus","glm"
"3",4,0.583,0.167,0.256,0.167,1,1,"Agabus","glm"
"4",5,0.542,0.083,0.133,0.083,1,1,"Agabus","glm"
"5",6,0.563,0.127,0.168,0.167,0.96,1,"Agabus","glm"
"6",7,0.542,0.083,0.118,0.111,0.972,1,"Agabus","glm"
"7",8,0.857,0.714,0.821,0.714,1,1,"Agabus","glm"
"8",9,0.611,0.222,0.336,0.222,1,1,"Agabus","glm"
"9",11,0.976,0.9,0.791,1,0.9,0.555555555555556,"Agabus","glm"
"10",12,0.99,0.899,0.709,1,0.899,0.166666666666667,"Agabus","glm"
"11",13,0.998,0.984,0.958,1,0.984,0.8,"Agabus","tree"
"12",14,0.975,0.863,0.64,1,0.863,0.2,"Agabus","tree"
"13",15,0.981,0.894,0.722,1,0.894,0.166666666666667,"Agabus","tree"
"14",16,0.974,0.84,0.592,1,0.84,0.2,"Agabus","tree"
"15",17,0.963,0.903,0.674,1,0.903,0.4,"Agabus","tree"
"16",18,0.977,0.934,0.705,1,0.934,0.4,"Agabus","tree"
"17",19,0.989,0.914,0.708,1,0.914,0.2,"Agabus","tree"
"18",20,0.98,0.913,0.686,1,0.913,0.2,"Agabus","tree"
"19",21,0.96,0.8,0.627,1,0.8,0.190433993398519,"Agabus","tree"
"20",22,0.975,0.899,0.709,1,0.899,0.204290791594291,"Agabus","tree"
"21",23,0.99,0.929,0.955,0.929,1,0.287143400992167,"Agabus","brt"
"22",24,0.974,0.89,0.696,1,0.89,0.178600490772959,"Agabus","brt"
"23",25,0.97,0.894,0.722,1,0.894,0.225390002447934,"Agabus","brt"
"24",26,0.974,0.827,0.568,1,0.827,0.178401391994377,"Agabus","brt"
"25",27,0.968,0.819,0.686,0.889,0.931,0.163606886509769,"Agabus","brt"
"26",28,0.957,0.855,0.499,1,0.855,0.112606041773807,"Agabus","brt"
"27",29,0.99,0.957,0.836,1,0.957,0.168415723753412,"Agabus","brt"
"28",30,0.993,0.986,0.934,1,0.986,0.260641175316114,"Agabus","brt"
"29",31,0.853,0.671,0.499,0.938,0.733,0.235277139500097,"Agabus","brt"
"30",32,0.838,0.623,0.313,1,0.623,0.0775638236839552,"Agabus","brt"
"31",33,0.749,0.594,0.344,1,0.594,0.212431464221677,"Agabus","fda"
"32",34,0.848,0.644,0.338,1,0.644,0.094474628305011,"Agabus","fda"
"33",35,0.9,0.682,0.397,1,0.682,0.140294592039253,"Agabus","fda"
"34",36,0.819,0.503,0.486,0.583,0.92,0.0906451894581127,"Agabus","fda"
"35",37,0.861,0.653,0.295,1,0.653,0.0847526392889203,"Agabus","fda"
"36",38,0.936,0.765,0.551,0.857,0.908,0.0242656375975048,"Agabus","fda"
"37",39,0.886,0.732,0.493,0.889,0.843,0.0359093715449738,"Agabus","fda"
"38",40,0.795,0.638,0.268,1,0.638,0.124130188073148,"Agabus","fda"
"39",41,0.831,0.671,0.499,0.938,0.733,0.322287797927856,"Agabus","fda"
"40",42,0.823,0.58,0.275,1,0.58,0.177509933710098,"Agabus","fda"
"41",43,0.767,0.656,0.407,1,0.656,0.282151818275452,"Agabus","43"
"42",44,0.828,0.518,0.299,0.833,0.685,0.2493976354599,"Agabus","44"
"43",45,0.874,0.591,0.571,0.667,0.924,0.224568784236908,"Agabus","45"
"44",46,0.843,0.583,0.317,0.917,0.667,0.213217556476593,"Agabus","46"
"45",47,0.892,0.667,0.386,0.889,0.778,0.179684177041054,"Agabus","47"
"46",48,0.912,0.701,0.75,0.714,0.987,0.514400839805603,"Agabus","48"
"47",49,0.875,0.629,0.278,1,0.629,0.142064586281776,"Agabus","49"
"48",50,0.819,0.638,0.268,1,0.638,0.144666850566864,"Agabus","50"
