"","Micrasema","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.20868,0.140868006151566,0.276491993848434,"DS_Tim",0.07612,0.0292934505307086,0.122946549469291
"DS_Mag_50","DS_Mag_50",0.20434,0.152386797102585,0.256293202897415,"DS_Mag_50",0.06852,0.0463876595182525,0.0906523404817475
"DS_Mag_90","DS_Mag_90",0.13694,0.103711593759255,0.170168406240745,"DS_Mag_90",0.05564,0.0359613413363614,0.0753186586636386
"SP_ROC","SP_ROC",0.23564,0.166037223903784,0.305242776096216,"SP_ROC",0.053,0.0251903522855826,0.0808096477144174
"SP_Dur","SP_Dur",0.3046,0.195290812520173,0.413909187479827,"SP_Dur",0.08288,0.0344128518561284,0.131347148143872
"SP_Mag","SP_Mag",0.14826,0.0787502693912572,0.217769730608743,"SP_Mag",0.07924,0.0417708306630638,0.116709169336936
"SP_Tim","SP_Tim",0.22218,0.154282411326322,0.290077588673678,"SP_Tim",0.04336,0.02652275578368,0.06019724421632
"Wet_BFL_Dur","Wet_BFL_Dur",0.5136,0.446875672472478,0.580324327527522,"Wet_BFL_Dur",0.22204,0.129468938556372,0.314611061443628
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.15842,0.0977499816284847,0.219090018371515,"Wet_BFL_Mag_10",0.03832,0.0111935893786148,0.0654464106213852
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.10084,0.0522357838166276,0.149444216183372,"Wet_BFL_Mag_50",0.0356,0.0233662788163208,0.0478337211836792
"Wet_Tim","Wet_Tim",0.3967,0.324414420096398,0.468985579903602,"Wet_Tim",0.21568,0.147392154205891,0.283967845794109
"DS_Dur_WS","DS_Dur_WS",0.24336,0.0992469406046072,0.387473059395393,"DS_Dur_WS",0.0362,0.0157598921235723,0.0566401078764276
"Q99","Q99",0.16042,0.0710109136625365,0.249829086337463,"Q99",0.0998,0.0277089258923131,0.171891074107687
"FA_Dur","FA_Dur",0.1946,0.0861128657466702,0.30308713425333,"FA_Dur",0.00736,0.00333340431629894,0.0113865956837011
"FA_Mag","FA_Mag",0.22096,0.164224161301696,0.277695838698304,"FA_Mag",0.06544,0.0397531175733605,0.0911268824266395
"FA_Tim","FA_Tim",0.21446,0.0663869754806771,0.362533024519323,"FA_Tim",0.09256,-0.00249326605014687,0.187613266050147
