"","Ephydridae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.20862,0.103016477072495,0.314223522927505,"DS_Tim",0.10224,0.041871109097483,0.162608890902517
"DS_Mag_50","DS_Mag_50",0.25044,0.142338133853758,0.358541866146242,"DS_Mag_50",0.1738,0.0808421311238258,0.266757868876174
"DS_Mag_90","DS_Mag_90",0.36074,0.312156585249697,0.409323414750303,"DS_Mag_90",0.23496,0.189527438870343,0.280392561129657
"SP_ROC","SP_ROC",0.2325,0.147536515031456,0.317463484968544,"SP_ROC",0.19996,0.140158580394777,0.259761419605223
"SP_Dur","SP_Dur",0.24734,0.139734998137633,0.354945001862367,"SP_Dur",0.1308,0.0798207334497641,0.181779266550236
"SP_Mag","SP_Mag",0.61866,0.563756581246702,0.673563418753298,"SP_Mag",0.43196,0.322019190175804,0.541900809824196
"SP_Tim","SP_Tim",0.23958,0.121588170930356,0.357571829069644,"SP_Tim",0.106,0.0581366053648511,0.153863394635149
"Wet_BFL_Dur","Wet_BFL_Dur",0.30112,0.161464139894883,0.440775860105117,"Wet_BFL_Dur",0.1458,0.0738269892112328,0.217773010788767
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.15502,0.12000201021332,0.19003798978668,"Wet_BFL_Mag_10",0.0942,0.0624657750370361,0.125934224962964
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.33182,0.230914809084468,0.432725190915532,"Wet_BFL_Mag_50",0.22896,0.148424914150415,0.309495085849585
"Wet_Tim","Wet_Tim",0.40214,0.245375017472651,0.558904982527349,"Wet_Tim",0.23236,0.118472627676287,0.346247372323713
"DS_Dur_WS","DS_Dur_WS",0.08252,0.0318460227266499,0.13319397727335,"DS_Dur_WS",0.05216,0.0212490072174962,0.0830709927825038
"Q99","Q99",0.2947,0.211502299875537,0.377897700124463,"Q99",0.22928,0.155061364245898,0.303498635754102
"FA_Dur","FA_Dur",0.10122,0.0362021199076746,0.166237880092325,"FA_Dur",0.0796,0.0324834487467514,0.126716551253249
"FA_Mag","FA_Mag",0.2064,0.134419058373067,0.278380941626933,"FA_Mag",0.14372,0.0821835455262492,0.205256454473751
"FA_Tim","FA_Tim",0.23168,0.119810518906182,0.343549481093818,"FA_Tim",0.11296,0.0740891057627947,0.151830894237205
