"","Tvetenia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.1639,0.0681322859832187,0.259667714016781,"DS_Tim",0.0618,0.0189747849042179,0.104625215095782
"DS_Mag_50","DS_Mag_50",0.1492,0.112611466714283,0.185788533285717,"DS_Mag_50",0.0183,0.0143501015202919,0.0222498984797081
"DS_Mag_90","DS_Mag_90",0.183,0.16082513134199,0.20517486865801,"DS_Mag_90",0.0646,0.0275956879269456,0.101604312073054
"SP_ROC","SP_ROC",0.23645,0.172731900840499,0.300168099159501,"SP_ROC",0.1741,0.0567810855062152,0.291418914493785
"SP_Dur","SP_Dur",0.113,0.108287840410173,0.117712159589827,"SP_Dur",0.0205,0.00629422476596226,0.0347057752340377
"SP_Mag","SP_Mag",0.3738,0.347120861145832,0.400479138854168,"SP_Mag",0.0957,0.0465688066295963,0.144831193370404
"SP_Tim","SP_Tim",0.2884,0.159231390067091,0.417568609932909,"SP_Tim",0.0393,0.0364588449531925,0.0421411550468076
"Wet_BFL_Dur","Wet_BFL_Dur",0.30145,0.296633895713338,0.306266104286662,"Wet_BFL_Dur",0.0381,0.0116980470040567,0.0645019529959433
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.0585,0.0406908086090356,0.0763091913909644,"Wet_BFL_Mag_10",0.0137,0.00864135808739144,0.0187586419126086
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.1897,0.0582446067367337,0.321155393263266,"Wet_BFL_Mag_50",0.035,0.0107462374053014,0.0592537625946986
"Wet_Tim","Wet_Tim",0.50595,0.427956829141905,0.583943170858095,"Wet_Tim",0.1306,0.0838941828890662,0.177305817110934
"DS_Dur_WS","DS_Dur_WS",0.08875,0.0336939589100342,0.143806041089966,"DS_Dur_WS",0.0021,0.000644774244318085,0.00355522575568191
"Q99","Q99",0.12705,0.0597284846835724,0.194371515316428,"Q99",0.0247,0.0201957298038417,0.0292042701961583
"FA_Dur","FA_Dur",0.08375,0.0358314947593312,0.131668505240669,"FA_Dur",0.0134,0.00522301718235877,0.0215769828176412
"FA_Mag","FA_Mag",0.2979,0.199568316794636,0.396231683205364,"FA_Mag",0.0375,0.0274520126393392,0.0475479873606608
"FA_Tim","FA_Tim",0.43915,0.342516080176265,0.535783919823735,"FA_Tim",0.079,0.0293837313777023,0.128616268622298
