"","Apedilum","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.21288,0.119957779265668,0.305802220734332,"DS_Tim",0.14384,0.0753356727147839,0.212344327285216
"DS_Mag_50","DS_Mag_50",0.27438,0.221513888872927,0.327246111127073,"DS_Mag_50",0.22184,0.174921308918513,0.268758691081487
"DS_Mag_90","DS_Mag_90",0.40176,0.271843087862665,0.531676912137335,"DS_Mag_90",0.30564,0.203916604240716,0.407363395759284
"SP_ROC","SP_ROC",0.10864,0.0663963074021695,0.150883692597831,"SP_ROC",0.09052,0.0581555389477903,0.12288446105221
"SP_Dur","SP_Dur",0.47294,0.397384092538703,0.548495907461297,"SP_Dur",0.32212,0.244033473318376,0.400206526681624
"SP_Mag","SP_Mag",0.23334,0.183673132529824,0.283006867470176,"SP_Mag",0.19924,0.143653202657466,0.254826797342534
"SP_Tim","SP_Tim",0.3857,0.285434301513429,0.485965698486571,"SP_Tim",0.28172,0.185367194409296,0.378072805590704
"Wet_BFL_Dur","Wet_BFL_Dur",0.26846,0.157955436178862,0.378964563821138,"Wet_BFL_Dur",0.16324,0.0912428941776129,0.235237105822387
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.18002,0.103960079284817,0.256079920715183,"Wet_BFL_Mag_10",0.12516,0.0731842145917928,0.177135785408207
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.1799,0.0845375084716218,0.275262491528378,"Wet_BFL_Mag_50",0.13592,0.0536290084444233,0.218210991555577
"Wet_Tim","Wet_Tim",0.2451,0.144256351203955,0.345943648796045,"Wet_Tim",0.19696,0.113582402848247,0.280337597151753
"DS_Dur_WS","DS_Dur_WS",0.29692,0.214314149630913,0.379525850369087,"DS_Dur_WS",0.21452,0.154954716426428,0.274085283573572
"Q99","Q99",0.30604,0.241344618798557,0.370735381201443,"Q99",0.24988,0.176576438905057,0.323183561094943
"FA_Dur","FA_Dur",0.08418,0.0371479708315705,0.131212029168429,"FA_Dur",0.06688,0.0372073865795411,0.0965526134204589
"FA_Mag","FA_Mag",0.3035,0.152591725455494,0.454408274544506,"FA_Mag",0.2644,0.125569916077242,0.403230083922758
"FA_Tim","FA_Tim",0.22628,0.108113671078856,0.344446328921144,"FA_Tim",0.16476,0.065137242124101,0.264382757875899
