"","Ochrotrichia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.22302,0.145024363322683,0.301015636677317,"DS_Tim",0.08764,0.0468420103093302,0.12843798969067
"DS_Mag_50","DS_Mag_50",0.43512,0.302209763051524,0.568030236948476,"DS_Mag_50",0.11756,0.0755106106726863,0.159609389327314
"DS_Mag_90","DS_Mag_90",0.2993,0.22845186262152,0.37014813737848,"DS_Mag_90",0.10036,0.0695198499873947,0.131200150012605
"SP_ROC","SP_ROC",0.28744,0.144711366242439,0.430168633757561,"SP_ROC",0.08516,0.0405177782721335,0.129802221727867
"SP_Dur","SP_Dur",0.13236,0.0841008380688185,0.180619161931182,"SP_Dur",0.046,0.0265338596018625,0.0654661403981375
"SP_Mag","SP_Mag",0.284,0.190428421708299,0.377571578291701,"SP_Mag",0.1272,0.0548565486861458,0.199543451313854
"SP_Tim","SP_Tim",0.3422,0.239388325407569,0.445011674592431,"SP_Tim",0.11688,0.0577428421278127,0.176017157872187
"Wet_BFL_Dur","Wet_BFL_Dur",0.41534,0.286378313186435,0.544301686813565,"Wet_BFL_Dur",0.11604,0.0517451134785977,0.180334886521402
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.15798,0.0968704735642633,0.219089526435737,"Wet_BFL_Mag_10",0.05616,0.03667802887796,0.07564197112204
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.19646,0.162350744873275,0.230569255126725,"Wet_BFL_Mag_50",0.06652,0.0443196362372145,0.0887203637627855
"Wet_Tim","Wet_Tim",0.44518,0.332943013659935,0.557416986340065,"Wet_Tim",0.2204,0.148074373324526,0.292725626675474
"DS_Dur_WS","DS_Dur_WS",0.2423,0.115178218597284,0.369421781402716,"DS_Dur_WS",0.05712,0.0139998552275158,0.100240144772484
"Q99","Q99",0.40976,0.233631636478391,0.585888363521609,"Q99",0.2952,0.103734269713873,0.486665730286127
"FA_Dur","FA_Dur",0.17202,0.0880139164036318,0.256026083596368,"FA_Dur",0.0342,0.0177612485267281,0.0506387514732719
"FA_Mag","FA_Mag",0.1971,0.107266795106152,0.286933204893848,"FA_Mag",0.0626,0.0386272288627285,0.0865727711372715
"FA_Tim","FA_Tim",0.34082,0.220106397105794,0.461533602894206,"FA_Tim",0.06796,0.022132481817144,0.113787518182856
