"","Paratanytarsus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.196825,0.0635770557697668,0.330072944230233,"DS_Tim",0.0565,0.0259834755801604,0.0870165244198396
"DS_Mag_50","DS_Mag_50",0.211975,0.137755527724076,0.286194472275924,"DS_Mag_50",0.115,0.0913958975882016,0.138604102411798
"DS_Mag_90","DS_Mag_90",0.343775,0.297343638770941,0.390206361229059,"DS_Mag_90",0.10475,0.0652502553805724,0.144249744619428
"SP_ROC","SP_ROC",0.2162,0.132262528022343,0.300137471977657,"SP_ROC",0.13145,0.0753701689642346,0.187529831035765
"SP_Dur","SP_Dur",0.272575,0.186049931307453,0.359100068692547,"SP_Dur",0.11305,0.0668213889349896,0.15927861106501
"SP_Mag","SP_Mag",0.2711,0.121202264453395,0.420997735546605,"SP_Mag",0.10815,0.0163924311368993,0.199907568863101
"SP_Tim","SP_Tim",0.3612,0.274463817546155,0.447936182453845,"SP_Tim",0.0761,0.0570020653472686,0.0951979346527314
"Wet_BFL_Dur","Wet_BFL_Dur",0.3207,0.279533447743749,0.361866552256251,"Wet_BFL_Dur",0.05205,0.0259122927618609,0.0781877072381391
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.147975,0.058144128207967,0.237805871792033,"Wet_BFL_Mag_10",0.06325,0.0182207062347187,0.108279293765281
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.2043,0.113796827558367,0.294803172441633,"Wet_BFL_Mag_50",0.0302,0.0127503117888409,0.0476496882111592
"Wet_Tim","Wet_Tim",0.527925,0.408259827627598,0.647590172372402,"Wet_Tim",0.2554,0.196349924007952,0.314450075992048
"DS_Dur_WS","DS_Dur_WS",0.3661,0.261614396417497,0.470585603582503,"DS_Dur_WS",0.08245,0.029555209245144,0.135344790754856
"Q99","Q99",0.34955,0.287273351735984,0.411826648264016,"Q99",0.16175,0.103089522893746,0.220410477106254
"FA_Dur","FA_Dur",0.151775,0.0773013039126118,0.226248696087388,"FA_Dur",0.06255,0.0238119850319267,0.101288014968073
"FA_Mag","FA_Mag",0.111225,0.0791987515634961,0.143251248436504,"FA_Mag",0.02875,0.0205186319687025,0.0369813680312975
"FA_Tim","FA_Tim",0.24055,0.127203813313666,0.353896186686334,"FA_Tim",0.02995,0.0130988674663491,0.0468011325336509
