"","Agabus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.410866666666667,0.363749393503491,0.457983939829843,"DS_Tim",0.0506666666666667,0.0241475093396826,0.0771858239936507
"DS_Mag_50","DS_Mag_50",0.7546,0.566737118440071,0.942462881559929,"DS_Mag_50",0.117933333333333,0.0878589338325398,0.148007732834127
"DS_Mag_90","DS_Mag_90",0.2323,0.132011483214677,0.332588516785323,"DS_Mag_90",0.0297333333333333,0.0113802766578546,0.048086390008812
"SP_ROC","SP_ROC",0.160033333333333,0.0242122598567431,0.295854406809924,"SP_ROC",0.0782,0.0118312771555758,0.144568722844424
"SP_Dur","SP_Dur",0.0746333333333333,0.0112916579502703,0.137975008716396,"SP_Dur",0.00186666666666667,0.000282417528010333,0.003450915805323
"SP_Mag","SP_Mag",0.544233333333333,0.479580635560283,0.608886031106383,"SP_Mag",0.059,0.0458187267686312,0.0721812732313688
"SP_Tim","SP_Tim",0.1181,0.0178679518167966,0.218332048183203,"SP_Tim",0.00466666666666667,0.000706043820025835,0.0086272895133075
"Wet_BFL_Dur","Wet_BFL_Dur",0.136733333333333,0.0206870839267569,0.25277958273991,"Wet_BFL_Dur",0.0188,0.0028443479606755,0.0347556520393245
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.0975666666666667,0.014761359008683,0.18037197432465,"Wet_BFL_Mag_10",0.033,0.00499273844161125,0.0610072615583887
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.536933333333333,0.514087542028733,0.559779124637933,"Wet_BFL_Mag_50",0.0826666666666667,0.038545293327509,0.126788040005824
"Wet_Tim","Wet_Tim",0.366433333333333,0.195258691623957,0.53760797504271,"Wet_Tim",0.0953333333333333,0.0262833558001485,0.164383310866518
"DS_Dur_WS","DS_Dur_WS",0.356033333333333,0.321123237568163,0.390943429098503,"DS_Dur_WS",0.0262666666666667,0.0216686665216761,0.0308646668116572
"Q99","Q99",0.317166666666667,0.174125818884177,0.460207514449156,"Q99",0.0298666666666667,0.0166568870570996,0.0430764462762337
"FA_Dur","FA_Dur",0.139433333333333,0.0210955807083433,0.257771085958323,"FA_Dur",0.0028,0.000423626292015501,0.0051763737079845
"FA_Mag","FA_Mag",0.270733333333333,0.231436758961852,0.310029907704814,"FA_Mag",0.0165333333333333,0.016307012027811,0.0167596546388557
"FA_Tim","FA_Tim",0.0882666666666667,0.0133543145387744,0.163179018794559,"FA_Tim",0.0172666666666667,0.00261236213409559,0.0319209711992377
