"","Pisidium","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.3711,0.261537084754923,0.480662915245077,"DS_Tim",0.211,0.174548215297465,0.247451784702535
"DS_Mag_50","DS_Mag_50",0.199233333333333,0.151053241860471,0.247413424806195,"DS_Mag_50",0.112266666666667,0.08428044488999,0.140252888443343
"DS_Mag_90","DS_Mag_90",0.272566666666667,0.250674338916212,0.294458994417121,"DS_Mag_90",0.133333333333333,0.108161001114539,0.158505665552127
"SP_ROC","SP_ROC",0.117233333333333,0.0600001516959883,0.174466514970678,"SP_ROC",0.0791333333333333,0.0344691591292429,0.123797507537424
"SP_Dur","SP_Dur",0.360666666666667,0.326695127691617,0.394638205641717,"SP_Dur",0.206933333333333,0.165350565636446,0.248516101030221
"SP_Mag","SP_Mag",0.2266,0.138304936785798,0.314895063214202,"SP_Mag",0.1118,0.0497434006410277,0.173856599358972
"SP_Tim","SP_Tim",0.0719,0.0296424784091637,0.114157521590836,"SP_Tim",0.0320666666666667,0.0105030290947417,0.0536303042385916
"Wet_BFL_Dur","Wet_BFL_Dur",0.2961,0.16849289833242,0.42370710166758,"Wet_BFL_Dur",0.1312,0.0671104725247564,0.195289527475244
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.0611,0.0311282977293581,0.0910717022706419,"Wet_BFL_Mag_10",0.0308666666666667,0.0209496025177699,0.0407837308155634
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.0956333333333333,0.0683140718804073,0.122952594786259,"Wet_BFL_Mag_50",0.0324666666666667,0.0221266990974074,0.0428066342359259
"Wet_Tim","Wet_Tim",0.274966666666667,0.237977205271111,0.311956128062223,"Wet_Tim",0.200066666666667,0.177692956886361,0.222440376446972
"DS_Dur_WS","DS_Dur_WS",0.386766666666667,0.262776939119046,0.510756394214288,"DS_Dur_WS",0.156866666666667,0.117213908006854,0.196519425326479
"Q99","Q99",0.248933333333333,0.139853452464617,0.35801321420205,"Q99",0.0786666666666667,0.0451372970135799,0.112196036319753
"FA_Dur","FA_Dur",0.327466666666667,0.177589832858592,0.477343500474742,"FA_Dur",0.145333333333333,0.0279624545885044,0.262704212078162
"FA_Mag","FA_Mag",0.2204,0.135873466100875,0.304926533899125,"FA_Mag",0.111533333333333,0.0689073511471909,0.154159315519476
"FA_Tim","FA_Tim",0.303833333333333,0.196088981257072,0.411577685409595,"FA_Tim",0.209933333333333,0.124307051916158,0.295559614750509
