"","Laccobius","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.40685,0.227191076242602,0.586508923757398,"DS_Tim",0.0269,0.0133149469882031,0.0404850530117969
"DS_Mag_50","DS_Mag_50",0.50315,0.341324388536095,0.664975611463905,"DS_Mag_50",0.13145,0.0195710672154941,0.243328932784506
"DS_Mag_90","DS_Mag_90",0.581675,0.447854786667895,0.715495213332105,"DS_Mag_90",0.17815,0.0523474549661256,0.303952545033874
"SP_ROC","SP_ROC",0.218,0.0548130348158898,0.38118696518411,"SP_ROC",0.18735,0.0101918863397257,0.364508113660274
"SP_Dur","SP_Dur",0.58855,0.439120712637493,0.737979287362507,"SP_Dur",0.115,0.0608362236176243,0.169163776382376
"SP_Mag","SP_Mag",0.56215,0.366063385096449,0.758236614903551,"SP_Mag",0.0812,0.0394898215140077,0.122910178485992
"SP_Tim","SP_Tim",0.3873,0.207594091588507,0.567005908411493,"SP_Tim",0.13105,0.0554763303105286,0.206623669689471
"Wet_BFL_Dur","Wet_BFL_Dur",0.6723,0.498021715315227,0.846578284684773,"Wet_BFL_Dur",0.2609,0.01940683520784,0.50239316479216
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.336725,0.240687255234812,0.432762744765188,"Wet_BFL_Mag_10",0.05285,0.00417977722467258,0.101520222775327
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.563,0.463159344610191,0.662840655389809,"Wet_BFL_Mag_50",0.10755,0.040591713654445,0.174508286345555
"Wet_Tim","Wet_Tim",0.640275,0.601659800312355,0.678890199687645,"Wet_Tim",0.11695,0.0716580671973474,0.162241932802653
"DS_Dur_WS","DS_Dur_WS",0.534025,0.367430878302234,0.700619121697766,"DS_Dur_WS",0.08835,0.0469335585827722,0.129766441417228
"Q99","Q99",0.5522,0.471685370517733,0.632714629482267,"Q99",0.1666,0.0839560319281155,0.249243968071885
"FA_Dur","FA_Dur",0.39245,0.282008981996422,0.502891018003578,"FA_Dur",0.01225,0.0105443588693202,0.0139556411306798
"FA_Mag","FA_Mag",0.500975,0.358484036985089,0.643465963014911,"FA_Mag",0.0997,0.0265881247675865,0.172811875232413
"FA_Tim","FA_Tim",0.4225,0.281068903666839,0.563931096333161,"FA_Tim",0.154,0.0370391999229371,0.270960800077063
