"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.709,0.418,0.478,0.462,0.957,1,"Brillia","glm"
"2",2,0.8,0.6,0.513,0.96,0.64,1,"Brillia","glm"
"3",3,0.531,0.062,0.075,0.138,0.925,1,"Brillia","glm"
"4",4,0.688,0.376,0.317,0.667,0.709,1,"Brillia","glm"
"5",5,0.969,0.875,0.842,0.963,0.912,0.374158324229677,"Brillia","glm"
"6",6,0.522,0.043,0.06,0.043,1,1,"Brillia","glm"
"7",7,0.807,0.613,0.475,0.952,0.661,1,"Brillia","glm"
"8",8,0.778,0.556,0.455,1,0.556,1,"Brillia","glm"
"9",9,0.747,0.494,0.444,0.821,0.673,1,"Brillia","glm"
"10",10,0.956,0.84,0.79,1,0.84,0.305174816086854,"Brillia","glm"
"11",11,0.985,0.884,0.707,1,0.884,0.2,"Brillia","tree"
"12",12,0.981,0.92,0.885,1,0.92,0.6,"Brillia","tree"
"13",13,0.946,0.742,0.699,0.931,0.811,0.4,"Brillia","tree"
"14",14,0.989,0.891,0.801,1,0.891,0.333333333333333,"Brillia","tree"
"15",15,0.97,0.877,0.821,1,0.877,0.571428571428571,"Brillia","tree"
"16",16,0.992,0.909,0.855,1,0.909,0.4,"Brillia","tree"
"17",17,0.976,0.864,0.77,1,0.864,0.4,"Brillia","tree"
"18",18,0.987,0.852,0.836,0.926,0.926,0.4,"Brillia","tree"
"19",19,0.983,0.855,0.819,0.964,0.891,0.428571428571429,"Brillia","tree"
"20",20,0.97,0.829,0.809,0.929,0.9,0.6,"Brillia","tree"
"21",21,0.941,0.797,0.555,1,0.797,0.180856374047771,"Brillia","brt"
"22",22,0.965,0.82,0.752,1,0.82,0.372091198077605,"Brillia","brt"
"23",23,0.936,0.708,0.671,0.897,0.811,0.383055346963958,"Brillia","brt"
"24",24,0.974,0.909,0.831,1,0.909,0.342976006333096,"Brillia","brt"
"25",25,0.951,0.823,0.77,0.963,0.86,0.387874800619765,"Brillia","brt"
"26",26,0.977,0.909,0.855,1,0.909,0.439364202749042,"Brillia","brt"
"27",27,0.978,0.868,0.817,0.952,0.915,0.407937693110645,"Brillia","brt"
"28",28,0.974,0.87,0.817,1,0.87,0.477615033649871,"Brillia","brt"
"29",29,0.966,0.819,0.771,0.964,0.855,0.35324305460999,"Brillia","brt"
"30",30,0.941,0.769,0.734,0.929,0.84,0.405909101022126,"Brillia","brt"
"31",31,0.828,0.538,0.663,0.538,1,0.265054589112569,"Brillia","fda"
"32",32,0.813,0.64,0.542,1,0.64,0.334543781725223,"Brillia","fda"
"33",33,0.779,0.557,0.499,0.897,0.66,0.483347253175756,"Brillia","fda"
"34",34,0.814,0.6,0.425,1,0.6,0.266041913958063,"Brillia","fda"
"35",35,0.795,0.632,0.524,1,0.632,0.381753082013621,"Brillia","fda"
"36",36,0.777,0.636,0.508,1,0.636,0.324466996594508,"Brillia","fda"
"37",37,0.877,0.678,0.525,1,0.678,0.145575935386494,"Brillia","fda"
"38",38,0.886,0.648,0.565,0.963,0.685,0.438427570248002,"Brillia","fda"
"39",39,0.861,0.582,0.484,1,0.582,0.259704898337678,"Brillia","fda"
"40",40,0.862,0.57,0.561,0.75,0.82,0.348903319957455,"Brillia","fda"
"41",41,0.824,0.538,0.663,0.538,1,0.307630449533463,"Brillia","rbf"
"42",42,0.853,0.64,0.542,1,0.64,0.343804538249969,"Brillia","rbf"
"43",43,0.778,0.554,0.485,0.931,0.623,0.459447801113129,"Brillia","rbf"
"44",44,0.802,0.655,0.483,1,0.655,0.350594311952591,"Brillia","rbf"
"45",45,0.782,0.54,0.452,0.926,0.614,0.405510187149048,"Brillia","rbf"
"46",46,0.879,0.702,0.603,0.957,0.745,0.459546715021133,"Brillia","rbf"
"47",47,0.843,0.661,0.506,1,0.661,0.32943868637085,"Brillia","rbf"
"48",48,0.871,0.574,0.473,1,0.574,0.342764258384705,"Brillia","rbf"
"49",49,0.832,0.564,0.466,1,0.564,0.335147202014923,"Brillia","rbf"
"50",50,0.856,0.613,0.564,0.893,0.72,0.397875815629959,"Brillia","rbf"
