"","Calineuria californica","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.253266666666667,0.163073513432436,0.343459819900897,"DS_Tim",0.134933333333333,0.081181308577671,0.188685358088996
"DS_Mag_50","DS_Mag_50",0.268466666666667,0.188923888400294,0.348009444933039,"DS_Mag_50",0.1272,0.0603194693800954,0.194080530619905
"DS_Mag_90","DS_Mag_90",0.346466666666667,0.234885518230502,0.458047815102831,"DS_Mag_90",0.233133333333333,0.104135313777476,0.362131352889191
"SP_ROC","SP_ROC",0.254666666666667,0.144170793868931,0.365162539464402,"SP_ROC",0.213466666666667,0.126757302643319,0.300176030690014
"SP_Dur","SP_Dur",0.498033333333333,0.440301593775848,0.555765072890819,"SP_Dur",0.2656,0.19803051016916,0.33316948983084
"SP_Mag","SP_Mag",0.398433333333333,0.228250158476553,0.568616508190113,"SP_Mag",0.330733333333333,0.187508006909082,0.473958659757585
"SP_Tim","SP_Tim",0.361,0.282298815085159,0.439701184914841,"SP_Tim",0.2146,0.13927968382966,0.28992031617034
"Wet_BFL_Dur","Wet_BFL_Dur",0.722733333333333,0.630737111082997,0.81472955558367,"Wet_BFL_Dur",0.571266666666667,0.353397075981474,0.789136257351859
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.313433333333333,0.222067917916266,0.404798748750401,"Wet_BFL_Mag_10",0.0876666666666667,0.0664754648759863,0.108857868457347
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.116133333333333,0.072291493222164,0.159975173444503,"Wet_BFL_Mag_50",0.0512,0.0357433152325604,0.0666566847674396
"Wet_Tim","Wet_Tim",0.466,0.404472758252949,0.52752724174705,"Wet_Tim",0.2052,0.129810478367349,0.280589521632651
"DS_Dur_WS","DS_Dur_WS",0.2462,0.164497572796153,0.327902427203847,"DS_Dur_WS",0.127866666666667,0.0638881764583683,0.191845156874965
"Q99","Q99",0.248366666666667,0.138406994639449,0.358326338693885,"Q99",0.136,0.0757657846070857,0.196234215392914
"FA_Dur","FA_Dur",0.2325,0.146082821493641,0.318917178506359,"FA_Dur",0.184333333333333,0.0826535121624966,0.28601315450417
"FA_Mag","FA_Mag",0.21,0.149457708987849,0.270542291012151,"FA_Mag",0.0806,0.044838861371595,0.116361138628405
"FA_Tim","FA_Tim",0.540133333333333,0.465775912712838,0.614490753953829,"FA_Tim",0.353733333333333,0.228360024238721,0.479106642427946
