"","Eukiefferiella","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.28744,0.233845617483733,0.341034382516268,"DS_Tim",0.22812,0.172501110356283,0.283738889643717
"DS_Mag_50","DS_Mag_50",0.24674,0.193006192487411,0.300473807512589,"DS_Mag_50",0.23,0.184267115835539,0.275732884164461
"DS_Mag_90","DS_Mag_90",0.2253,0.148882139584388,0.301717860415612,"DS_Mag_90",0.18364,0.116063709344179,0.251216290655821
"SP_ROC","SP_ROC",0.1698,0.127071747133776,0.212528252866224,"SP_ROC",0.12512,0.0951336333778165,0.155106366622183
"SP_Dur","SP_Dur",0.23772,0.136600979308045,0.338839020691955,"SP_Dur",0.1784,0.0951785234810148,0.261621476518985
"SP_Mag","SP_Mag",0.55882,0.420525291176054,0.697114708823946,"SP_Mag",0.52264,0.394230614584447,0.651049385415553
"SP_Tim","SP_Tim",0.198,0.150019741445048,0.245980258554952,"SP_Tim",0.1532,0.106671616598038,0.199728383401962
"Wet_BFL_Dur","Wet_BFL_Dur",0.33744,0.180399928361262,0.494480071638738,"Wet_BFL_Dur",0.27688,0.139718599929864,0.414041400070136
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.22932,0.135109249373015,0.323530750626985,"Wet_BFL_Mag_10",0.19392,0.113782972508334,0.274057027491666
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.2376,0.15861424181221,0.31658575818779,"Wet_BFL_Mag_50",0.22296,0.149864434971744,0.296055565028256
"Wet_Tim","Wet_Tim",0.32588,0.188892582316112,0.462867417683888,"Wet_Tim",0.27592,0.173018866006248,0.378821133993752
"DS_Dur_WS","DS_Dur_WS",0.13488,0.0369753795896231,0.232784620410377,"DS_Dur_WS",0.11332,0.0127540301632804,0.21388596983672
"Q99","Q99",0.24596,0.186896494725592,0.305023505274408,"Q99",0.24344,0.170652635019531,0.316227364980469
"FA_Dur","FA_Dur",0.04818,0.00850082382155597,0.087859176178444,"FA_Dur",0.03172,0.00667773035046543,0.0567622696495346
"FA_Mag","FA_Mag",0.22656,0.156844152437914,0.296275847562086,"FA_Mag",0.203,0.143421117818475,0.262578882181525
"FA_Tim","FA_Tim",0.24426,0.126544689095683,0.361975310904317,"FA_Tim",0.16912,0.0781546547678733,0.260085345232127
