"","Fallceon quilleri","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.11282,0.0641850944927411,0.161454905507259,"DS_Tim",0.036,0.00738408390423259,0.0646159160957674
"DS_Mag_50","DS_Mag_50",0.44286,0.376002641352653,0.509717358647347,"DS_Mag_50",0.23968,0.158038600335369,0.321321399664631
"DS_Mag_90","DS_Mag_90",0.4245,0.370682918325127,0.478317081674873,"DS_Mag_90",0.27904,0.193498674707484,0.364581325292516
"SP_ROC","SP_ROC",0.11798,0.00934945665835966,0.22661054334164,"SP_ROC",0.02804,0.011885390354453,0.044194609645547
"SP_Dur","SP_Dur",0.41916,0.280923155185385,0.557396844814615,"SP_Dur",0.24632,0.138688232453425,0.353951767546575
"SP_Mag","SP_Mag",0.43716,0.362903894188424,0.511416105811576,"SP_Mag",0.23216,0.140519639837024,0.323800360162976
"SP_Tim","SP_Tim",0.37438,0.262898584953814,0.485861415046186,"SP_Tim",0.12884,0.0556723376155832,0.202007662384417
"Wet_BFL_Dur","Wet_BFL_Dur",0.54556,0.46422039406722,0.62689960593278,"Wet_BFL_Dur",0.31676,0.234728865991015,0.398791134008985
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.1755,0.0970373662690322,0.253962633730968,"Wet_BFL_Mag_10",0.09948,0.0143131057792994,0.184646894220701
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.34284,0.2809583386309,0.4047216613691,"Wet_BFL_Mag_50",0.17132,0.111347739168846,0.231292260831154
"Wet_Tim","Wet_Tim",0.29858,0.279470678473583,0.317689321526417,"Wet_Tim",0.12728,0.0696201944574906,0.184939805542509
"DS_Dur_WS","DS_Dur_WS",0.12412,0.0672863640200629,0.180953635979937,"DS_Dur_WS",0.03288,0.00898823109939325,0.0567717689006067
"Q99","Q99",0.50564,0.396060438783959,0.615219561216041,"Q99",0.2684,0.218968980690259,0.317831019309741
"FA_Dur","FA_Dur",0.12572,0.0296471468691598,0.22179285313084,"FA_Dur",0.09148,0.0209175976797842,0.162042402320216
"FA_Mag","FA_Mag",0.33816,0.221024279874583,0.455295720125417,"FA_Mag",0.18588,0.0943152010584853,0.277444798941515
"FA_Tim","FA_Tim",0.25354,0.120165926178286,0.386914073821714,"FA_Tim",0.16568,0.0647317083988045,0.266628291601196
