"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.894,0.789,0.794,0.932,0.857,1,"Rheotanytarsus","glm"
"2",2,0.951,0.831,0.841,0.96,0.871,0.710587737429713,"Rheotanytarsus","glm"
"3",3,0.613,0.226,0.199,0.289,0.938,1,"Rheotanytarsus","glm"
"4",4,0.853,0.625,0.664,0.98,0.645,0.380480978873602,"Rheotanytarsus","glm"
"5",5,0.817,0.635,0.664,0.957,0.677,1,"Rheotanytarsus","glm"
"6",6,0.798,0.597,0.603,0.886,0.711,1,"Rheotanytarsus","glm"
"7",7,0.888,0.661,0.646,0.84,0.821,0.640789531727239,"Rheotanytarsus","glm"
"8",8,0.971,0.882,0.882,0.962,0.92,0.777422903338635,"Rheotanytarsus","glm"
"9",9,0.886,0.714,0.736,0.978,0.735,0.499848583314091,"Rheotanytarsus","glm"
"10",10,0.662,0.324,0.322,0.35,0.974,1,"Rheotanytarsus","glm"
"11",11,0.976,0.851,0.829,0.886,0.964,0.966666666666667,"Rheotanytarsus","tree"
"12",12,0.964,0.795,0.772,0.86,0.935,0.777777777777778,"Rheotanytarsus","tree"
"13",13,0.956,0.795,0.788,0.889,0.906,0.666666666666667,"Rheotanytarsus","tree"
"14",14,0.931,0.696,0.688,0.857,0.839,0.625,"Rheotanytarsus","tree"
"15",15,0.975,0.798,0.768,0.83,0.968,0.8,"Rheotanytarsus","tree"
"16",16,0.965,0.781,0.78,0.886,0.895,0.666666666666667,"Rheotanytarsus","tree"
"17",17,0.935,0.704,0.644,0.74,0.964,0.967741935483871,"Rheotanytarsus","tree"
"18",18,0.965,0.774,0.687,0.774,1,1,"Rheotanytarsus","tree"
"19",19,0.948,0.694,0.676,0.783,0.912,0.6,"Rheotanytarsus","tree"
"20",20,0.95,0.749,0.747,0.8,0.949,0.6,"Rheotanytarsus","tree"
"21",21,0.915,0.698,0.685,0.841,0.857,0.615378233164037,"Rheotanytarsus","brt"
"22",22,0.925,0.723,0.698,0.82,0.903,0.674580197622865,"Rheotanytarsus","brt"
"23",23,0.944,0.867,0.844,0.867,1,0.663552955299476,"Rheotanytarsus","brt"
"24",24,0.914,0.696,0.688,0.857,0.839,0.62966218907929,"Rheotanytarsus","brt"
"25",25,0.931,0.819,0.793,0.851,0.968,0.681159357952283,"Rheotanytarsus","brt"
"26",26,0.921,0.725,0.729,0.909,0.816,0.536647206708441,"Rheotanytarsus","brt"
"27",27,0.924,0.69,0.712,0.94,0.75,0.51160756112518,"Rheotanytarsus","brt"
"28",28,0.937,0.748,0.718,0.868,0.88,0.734765973603606,"Rheotanytarsus","brt"
"29",29,0.93,0.751,0.765,0.957,0.794,0.53341948310791,"Rheotanytarsus","brt"
"30",30,0.923,0.722,0.722,0.85,0.872,0.519553233859646,"Rheotanytarsus","brt"
"31",31,0.909,0.834,0.851,0.977,0.857,0.872469112815724,"Rheotanytarsus","fda"
"32",32,0.921,0.766,0.786,0.96,0.806,0.766333743255222,"Rheotanytarsus","fda"
"33",33,0.879,0.697,0.723,0.978,0.719,0.537819074333646,"Rheotanytarsus","fda"
"34",34,0.811,0.613,0.66,1,0.613,0.164373442945854,"Rheotanytarsus","fda"
"35",35,0.867,0.721,0.749,0.979,0.742,0.742876830143601,"Rheotanytarsus","fda"
"36",36,0.928,0.789,0.801,1,0.789,0.489212062088413,"Rheotanytarsus","fda"
"37",37,0.896,0.633,0.587,0.74,0.893,0.912260172266253,"Rheotanytarsus","fda"
"38",38,0.922,0.765,0.765,0.925,0.84,0.827458437302806,"Rheotanytarsus","fda"
"39",39,0.877,0.625,0.653,0.978,0.647,0.477098166836042,"Rheotanytarsus","fda"
"40",40,0.876,0.62,0.62,0.825,0.795,0.695011624265581,"Rheotanytarsus","fda"
"41",41,0.599,0.299,0.299,0.727,0.571,0.539713442325592,"Rheotanytarsus","rbf"
"42",42,0.831,0.617,0.645,0.94,0.677,0.54039478302002,"Rheotanytarsus","rbf"
"43",43,0.89,0.688,0.682,0.844,0.844,0.713059723377228,"Rheotanytarsus","rbf"
"44",44,0.846,0.602,0.588,0.796,0.806,0.720318198204041,"Rheotanytarsus","rbf"
"45",45,0.874,0.647,0.65,0.872,0.774,0.677429795265198,"Rheotanytarsus","rbf"
"46",46,0.874,0.755,0.755,0.886,0.868,0.723019123077393,"Rheotanytarsus","rbf"
"47",47,0.957,0.849,0.835,0.92,0.929,0.720331311225891,"Rheotanytarsus","rbf"
"48",48,0.931,0.802,0.82,0.962,0.84,0.651989161968231,"Rheotanytarsus","rbf"
"49",49,0.879,0.604,0.628,0.957,0.647,0.531969904899597,"Rheotanytarsus","rbf"
"50",50,0.85,0.592,0.594,0.9,0.692,0.557999789714813,"Rheotanytarsus","rbf"
