"","Diphetor hageni","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.11232,0.0586091444612916,0.166030855538708,"DS_Tim",0.06364,0.0281225096213147,0.0991574903786853
"DS_Mag_50","DS_Mag_50",0.23412,0.124757705838804,0.343482294161196,"DS_Mag_50",0.0784,0.0321406261823617,0.124659373817638
"DS_Mag_90","DS_Mag_90",0.28714,0.176987544440444,0.397292455559556,"DS_Mag_90",0.10476,0.0472310617445446,0.162288938255455
"SP_ROC","SP_ROC",0.17072,0.107579460528912,0.233860539471088,"SP_ROC",0.07588,0.0404494691939282,0.111310530806072
"SP_Dur","SP_Dur",0.40102,0.242992571289981,0.559047428710019,"SP_Dur",0.1032,0.0511556331578527,0.155244366842147
"SP_Mag","SP_Mag",0.48058,0.389646736544321,0.571513263455679,"SP_Mag",0.19048,0.128940502234744,0.252019497765256
"SP_Tim","SP_Tim",0.38638,0.302077964276063,0.470682035723937,"SP_Tim",0.11288,0.0739042283052664,0.151855771694734
"Wet_BFL_Dur","Wet_BFL_Dur",0.60038,0.463388989296013,0.737371010703987,"Wet_BFL_Dur",0.29924,0.126177307952291,0.472302692047709
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.23646,0.127266385398229,0.345653614601771,"Wet_BFL_Mag_10",0.10504,0.0359097205357884,0.174170279464212
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.23534,0.141882376943879,0.328797623056121,"Wet_BFL_Mag_50",0.06956,0.037501460251596,0.101618539748404
"Wet_Tim","Wet_Tim",0.17434,0.106948461411688,0.241731538588312,"Wet_Tim",0.07288,0.0415737469952088,0.104186253004791
"DS_Dur_WS","DS_Dur_WS",0.1889,0.11894668631866,0.25885331368134,"DS_Dur_WS",0.08528,0.0378078956733536,0.132752104326646
"Q99","Q99",0.37842,0.268159349003373,0.488680650996627,"Q99",0.12928,0.052107890276344,0.206452109723656
"FA_Dur","FA_Dur",0.39486,0.241185294904139,0.548534705095861,"FA_Dur",0.11352,0.0793725472223769,0.147667452777623
"FA_Mag","FA_Mag",0.17606,0.119123195494478,0.232996804505522,"FA_Mag",0.07296,0.0404523940161691,0.105467605983831
"FA_Tim","FA_Tim",0.54362,0.478008959746092,0.609231040253909,"FA_Tim",0.22956,0.167493326456141,0.291626673543859
