"","Labrundinia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2808,0.245378032515119,0.316221967484881,"DS_Tim",0.1598,0.1301379561392,0.1894620438608
"DS_Mag_50","DS_Mag_50",0.27562,0.128471117844205,0.422768882155795,"DS_Mag_50",0.18792,0.0707664083640625,0.305073591635938
"DS_Mag_90","DS_Mag_90",0.21486,0.147528021480874,0.282191978519126,"DS_Mag_90",0.13332,0.0731556377811582,0.193484362218842
"SP_ROC","SP_ROC",0.10922,0.0605322872358949,0.157907712764105,"SP_ROC",0.06176,0.0334222870577035,0.0900977129422965
"SP_Dur","SP_Dur",0.27954,0.197613600135243,0.361466399864757,"SP_Dur",0.12204,0.0792611534190086,0.164818846580991
"SP_Mag","SP_Mag",0.25722,0.141268535487041,0.373171464512959,"SP_Mag",0.16876,0.0877851790196483,0.249734820980352
"SP_Tim","SP_Tim",0.394,0.30324498231778,0.48475501768222,"SP_Tim",0.20996,0.152944529811638,0.266975470188362
"Wet_BFL_Dur","Wet_BFL_Dur",0.37228,0.236789588842236,0.507770411157764,"Wet_BFL_Dur",0.24592,0.152736051847971,0.339103948152029
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.06138,0.0212823925252391,0.101477607474761,"Wet_BFL_Mag_10",0.03576,0.00927656297230286,0.0622434370276971
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.18772,0.0984296876492192,0.277010312350781,"Wet_BFL_Mag_50",0.112,0.0499992561496235,0.174000743850377
"Wet_Tim","Wet_Tim",0.4288,0.239523839166154,0.618076160833846,"Wet_Tim",0.16404,0.0973486274485222,0.230731372551478
"DS_Dur_WS","DS_Dur_WS",0.36344,0.176900196546957,0.549979803453043,"DS_Dur_WS",0.22316,0.0782643172044108,0.368055682795589
"Q99","Q99",0.48982,0.333166649781436,0.646473350218564,"Q99",0.38104,0.23004967592988,0.53203032407012
"FA_Dur","FA_Dur",0.07538,0.022467572856653,0.128292427143347,"FA_Dur",0.024,0.011117379071012,0.036882620928988
"FA_Mag","FA_Mag",0.26236,0.178145986384094,0.346574013615906,"FA_Mag",0.15324,0.08203743923987,0.22444256076013
"FA_Tim","FA_Tim",0.3549,0.238985603728441,0.470814396271559,"FA_Tim",0.19972,0.144485953278797,0.254954046721203
