"","Brillia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.3957,0.320876614932229,0.470523385067771,"DS_Tim",0.2006,0.120672363127639,0.280527636872361
"DS_Mag_50","DS_Mag_50",0.2253,0.107081150481406,0.343518849518594,"DS_Mag_50",0.09004,0.00612257081630778,0.173957429183692
"DS_Mag_90","DS_Mag_90",0.3098,0.249099431687174,0.370500568312826,"DS_Mag_90",0.13816,0.0674753846243753,0.208844615375625
"SP_ROC","SP_ROC",0.18914,0.0864963232497978,0.291783676750202,"SP_ROC",0.06524,0.0165612484671186,0.113918751532881
"SP_Dur","SP_Dur",0.22876,0.157185719959611,0.300334280040389,"SP_Dur",0.063,0.00851437954836157,0.117485620451638
"SP_Mag","SP_Mag",0.34064,0.283042270571662,0.398237729428338,"SP_Mag",0.16732,0.0800815691383665,0.254558430861633
"SP_Tim","SP_Tim",0.18672,0.121079206055228,0.252360793944772,"SP_Tim",0.0592,0.00411018233829413,0.114289817661706
"Wet_BFL_Dur","Wet_BFL_Dur",0.15284,0.0924497353557711,0.213230264644229,"Wet_BFL_Dur",0.05964,0.0196955678623416,0.0995844321376584
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.22256,0.123483638193563,0.321636361806437,"Wet_BFL_Mag_10",0.10368,0.0488756258570541,0.158484374142946
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.17174,0.113978304099516,0.229501695900484,"Wet_BFL_Mag_50",0.0634,0.0229157385889282,0.103884261411072
"Wet_Tim","Wet_Tim",0.3799,0.262571794499362,0.497228205500638,"Wet_Tim",0.15636,0.0674192794677264,0.245300720532274
"DS_Dur_WS","DS_Dur_WS",0.2542,0.186854575764199,0.321545424235801,"DS_Dur_WS",0.0784,0.0411318356502497,0.11566816434975
"Q99","Q99",0.25216,0.164843027026242,0.339476972973758,"Q99",0.1204,0.00822344909028448,0.232576550909716
"FA_Dur","FA_Dur",0.2476,0.122768391088234,0.372431608911766,"FA_Dur",0.01032,0.00625235065424759,0.0143876493457524
"FA_Mag","FA_Mag",0.30738,0.248942375256176,0.365817624743824,"FA_Mag",0.12324,0.0469028624141565,0.199577137585844
"FA_Tim","FA_Tim",0.15478,0.0750812748081878,0.234478725191812,"FA_Tim",0.02744,0.0129018725827567,0.0419781274172433
