"","Corynoneura","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.28182,0.158863341112813,0.404776658887187,"DS_Tim",0.14148,0.0631485809958737,0.219811419004126
"DS_Mag_50","DS_Mag_50",0.14168,0.108752375522975,0.174607624477025,"DS_Mag_50",0.06348,0.0361360154842057,0.0908239845157943
"DS_Mag_90","DS_Mag_90",0.17118,0.123776755720732,0.218583244279268,"DS_Mag_90",0.09468,0.0598290036125221,0.129530996387478
"SP_ROC","SP_ROC",0.1134,0.0768212948766636,0.149978705123336,"SP_ROC",0.0586,0.0265510031982279,0.0906489968017721
"SP_Dur","SP_Dur",0.17782,0.101073849525204,0.254566150474796,"SP_Dur",0.06508,0.0222141793826363,0.107945820617364
"SP_Mag","SP_Mag",0.32492,0.279390464040362,0.370449535959638,"SP_Mag",0.19416,0.152095482021067,0.236224517978933
"SP_Tim","SP_Tim",0.35892,0.221588067933201,0.496251932066799,"SP_Tim",0.22912,0.129856192329732,0.328383807670268
"Wet_BFL_Dur","Wet_BFL_Dur",0.30754,0.181029450800338,0.434050549199662,"Wet_BFL_Dur",0.11752,0.0626491620147824,0.172390837985218
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.18672,0.110527509912722,0.262912490087278,"Wet_BFL_Mag_10",0.10876,0.0570913459552119,0.160428654044788
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.12718,0.0807426506225861,0.173617349377414,"Wet_BFL_Mag_50",0.07024,0.0476405965388464,0.0928394034611536
"Wet_Tim","Wet_Tim",0.253,0.0989390128033706,0.407060987196629,"Wet_Tim",0.07352,0.0281427934178403,0.11889720658216
"DS_Dur_WS","DS_Dur_WS",0.2863,0.195681868845137,0.376918131154863,"DS_Dur_WS",0.09904,0.0442323051314872,0.153847694868513
"Q99","Q99",0.36412,0.232519521301403,0.495720478698597,"Q99",0.21836,0.109286343396767,0.327433656603233
"FA_Dur","FA_Dur",0.25372,0.220660168070603,0.286779831929397,"FA_Dur",0.10196,0.0724918546426824,0.131428145357318
"FA_Mag","FA_Mag",0.1583,0.112399460869179,0.204200539130821,"FA_Mag",0.08508,0.0526421036255432,0.117517896374457
"FA_Tim","FA_Tim",0.25994,0.168840416837946,0.351039583162054,"FA_Tim",0.12732,0.0819630103159392,0.172676989684061
