"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,1,1,1,1,1,0.999999998554503,"Corbicula","glm"
"2",2,1,1,1,1,1,0.999999994000481,"Corbicula","glm"
"3",3,1,1,1,1,1,0.999999999586261,"Corbicula","glm"
"4",4,0.72,0.439,0.542,0.455,0.985,1,"Corbicula","glm"
"5",5,0.8,0.6,0.737,0.6,1,1,"Corbicula","glm"
"6",6,1,1,1,1,1,0.999999999883276,"Corbicula","glm"
"7",7,0.971,0.889,0.934,0.889,1,0.763433841393334,"Corbicula","glm"
"8",8,1,1,1,1,1,0.999999998927475,"Corbicula","glm"
"9",9,1,1,1,1,1,0.999999999883916,"Corbicula","glm"
"10",10,0.736,0.472,0.542,0.5,0.972,1,"Corbicula","glm"
"11",11,0.956,0.867,0.526,1,0.867,0.2,"Corbicula","tree"
"12",12,0.991,0.955,0.88,1,0.955,0.6,"Corbicula","tree"
"13",13,0.971,0.903,0.588,1,0.903,0.2,"Corbicula","tree"
"14",14,0.939,0.848,0.615,1,0.848,0.444444444444444,"Corbicula","tree"
"15",15,0.945,0.863,0.447,1,0.863,0.2,"Corbicula","tree"
"16",16,0.986,0.899,0.648,1,0.899,0.2,"Corbicula","tree"
"17",17,0.956,0.838,0.548,1,0.838,0.2,"Corbicula","tree"
"18",18,0.952,0.843,0.459,1,0.843,0.2,"Corbicula","tree"
"19",19,0.992,0.959,0.849,1,0.959,0.571428571428571,"Corbicula","tree"
"20",20,0.967,0.803,0.638,0.9,0.903,0.333333333333333,"Corbicula","tree"
"21",21,0.989,0.973,0.862,1,0.973,0.133073369678195,"Corbicula","brt"
"22",22,0.964,0.823,0.704,0.929,0.894,0.231510337040265,"Corbicula","brt"
"23",23,0.995,0.972,0.843,1,0.972,0.203982570920561,"Corbicula","brt"
"24",24,0.968,0.848,0.762,0.909,0.939,0.209797903776078,"Corbicula","brt"
"25",25,0.978,0.89,0.51,1,0.89,0.0943938829581516,"Corbicula","brt"
"26",26,0.942,0.855,0.551,1,0.855,0.138468377751583,"Corbicula","brt"
"27",27,0.94,0.824,0.522,1,0.824,0.122575518785237,"Corbicula","brt"
"28",28,0.957,0.829,0.433,1,0.829,0.115063084490657,"Corbicula","brt"
"29",29,0.966,0.836,0.551,1,0.836,0.158695402392146,"Corbicula","brt"
"30",30,0.943,0.917,0.728,1,0.917,0.184128293154918,"Corbicula","brt"
"31",31,0.956,0.827,0.449,1,0.827,0.000721398979609093,"Corbicula","fda"
"32",32,0.965,0.879,0.717,1,0.879,0.00627165454213807,"Corbicula","fda"
"33",33,0.986,0.917,0.629,1,0.917,1.2761029846314e-05,"Corbicula","fda"
"34",34,0.861,0.758,0.704,0.818,0.939,0.0443999337758703,"Corbicula","fda"
"35",35,0.841,0.603,0.163,1,0.603,5.99177634742424e-06,"Corbicula","fda"
"36",36,1,1,1,1,1,0.193891302735449,"Corbicula","fda"
"37",37,0.956,0.845,0.77,0.889,0.956,0.0852964314872903,"Corbicula","fda"
"38",38,0.962,0.871,0.517,1,0.871,0.00382512618617932,"Corbicula","fda"
"39",39,0.992,0.959,0.849,1,0.959,0.00835975024292698,"Corbicula","fda"
"40",40,0.926,0.792,0.481,1,0.792,0.0277088138820454,"Corbicula","fda"
"41",41,0.97,0.88,0.556,1,0.88,0.14958530664444,"Corbicula","rbf"
"42",42,0.96,0.879,0.717,1,0.879,0.20434707403183,"Corbicula","rbf"
"43",43,0.917,0.792,0.687,0.833,0.958,0.280060946941376,"Corbicula","rbf"
"44",44,0.906,0.773,0.745,0.818,0.955,0.286068737506866,"Corbicula","rbf"
"45",45,0.814,0.562,0.141,1,0.562,0.0987328141927719,"Corbicula","rbf"
"46",46,0.889,0.625,0.749,0.625,1,0.490967094898224,"Corbicula","rbf"
"47",47,0.951,0.815,0.684,0.889,0.926,0.29069647192955,"Corbicula","rbf"
"48",48,0.917,0.771,0.348,1,0.771,0.134692817926407,"Corbicula","rbf"
"49",49,0.973,0.9,0.941,0.9,1,0.29858660697937,"Corbicula","rbf"
"50",50,0.915,0.778,0.461,1,0.778,0.149384438991547,"Corbicula","rbf"
