"","Optioservus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.15024,0.0527425918431674,0.247737408156833,"DS_Tim",0.01332,0.0077678005079068,0.0188721994920932
"DS_Mag_50","DS_Mag_50",0.24614,0.152721627865286,0.339558372134714,"DS_Mag_50",0.04916,0.0175989482304534,0.0807210517695466
"DS_Mag_90","DS_Mag_90",0.25322,0.105782841558853,0.400657158441147,"DS_Mag_90",0.0824,0.0354142886187726,0.129385711381227
"SP_ROC","SP_ROC",0.0842,0.0607343455983005,0.1076656544017,"SP_ROC",0.03584,0.0242794471239477,0.0474005528760523
"SP_Dur","SP_Dur",0.07352,0.0407628788017018,0.106277121198298,"SP_Dur",0.01808,0.00816174152383595,0.027998258476164
"SP_Mag","SP_Mag",0.35384,0.260313878291677,0.447366121708323,"SP_Mag",0.12668,0.0719102469861329,0.181449753013867
"SP_Tim","SP_Tim",0.345,0.242224599604283,0.447775400395717,"SP_Tim",0.0444,0.022121752447735,0.066678247552265
"Wet_BFL_Dur","Wet_BFL_Dur",0.68996,0.605375527821,0.774544472179,"Wet_BFL_Dur",0.35156,0.271433106020513,0.431686893979487
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.21598,0.152689510819555,0.279270489180445,"Wet_BFL_Mag_10",0.08308,0.0568022360692543,0.109357763930746
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.17702,0.123082568088571,0.230957431911429,"Wet_BFL_Mag_50",0.04824,0.0225996151588944,0.0738803848411057
"Wet_Tim","Wet_Tim",0.2532,0.172059425042091,0.334340574957909,"Wet_Tim",0.05868,0.0319250487348603,0.0854349512651397
"DS_Dur_WS","DS_Dur_WS",0.34494,0.178095566271152,0.511784433728848,"DS_Dur_WS",0.05636,0.0272610621362222,0.0854589378637778
"Q99","Q99",0.34758,0.248504251311433,0.446655748688567,"Q99",0.09808,0.0565927327340062,0.139567267265994
"FA_Dur","FA_Dur",0.28212,0.149375828332465,0.414864171667535,"FA_Dur",0.05088,0.0203405677001029,0.0814194322998971
"FA_Mag","FA_Mag",0.20722,0.136578164713111,0.277861835286889,"FA_Mag",0.04144,0.0284790785512758,0.0544009214487242
"FA_Tim","FA_Tim",0.53074,0.401872493807399,0.659607506192601,"FA_Tim",0.10604,0.075458472294537,0.136621527705463
