"","Planariidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2574,0.079030900232131,0.435769099767869,"DS_Tim",0.0479,0.0147069934775411,0.0810930065224589
"DS_Mag_50","DS_Mag_50",0.3708,0.187372258319522,0.554227741680478,"DS_Mag_50",0.0797,0.034172222786523,0.125227777213477
"DS_Mag_90","DS_Mag_90",0.50515,0.18032282239243,0.82997717760757,"DS_Mag_90",0.2914,0.105269696201828,0.477530303798173
"SP_ROC","SP_ROC",0.12995,0.0870208402073835,0.172879159792616,"SP_ROC",0.0049,0.00441492474810603,0.00538507525189397
"SP_Dur","SP_Dur",0.5294,0.379858229487544,0.678941770512456,"SP_Dur",0.1756,0.108105243522182,0.243094756477818
"SP_Mag","SP_Mag",0.49715,0.443895666988498,0.550404333011502,"SP_Mag",0.0887,0.0785134197102266,0.0988865802897734
"SP_Tim","SP_Tim",0.4698,0.323792349179915,0.615807650820085,"SP_Tim",0.1655,0.148660959112824,0.182339040887176
"Wet_BFL_Dur","Wet_BFL_Dur",0.5403,0.521589954569804,0.559010045430196,"Wet_BFL_Dur",0.077,0.0645266363798693,0.0894733636201307
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.32365,0.319249674500676,0.328050325499324,"Wet_BFL_Mag_10",0.0406,0.0328387959696965,0.0483612040303035
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.6378,0.562959818279216,0.712640181720784,"Wet_BFL_Mag_50",0.1921,0.151422975305463,0.232777024694537
"Wet_Tim","Wet_Tim",0.67395,0.608014413974698,0.739885586025302,"Wet_Tim",0.2318,0.170819111190472,0.292780888809528
"DS_Dur_WS","DS_Dur_WS",0.0728,0.0708596989924241,0.0747403010075759,"DS_Dur_WS",0.0128,0.00781065455194772,0.0177893454480523
"Q99","Q99",0.53765,0.398745236796933,0.676554763203067,"Q99",0.2167,0.17103362985741,0.26236637014259
"FA_Dur","FA_Dur",0.2544,0.0781097941688195,0.430690205831181,"FA_Dur",0.0884,0.027141925332247,0.149658074667753
"FA_Mag","FA_Mag",0.09335,0.049312096774483,0.137387903225517,"FA_Mag",0.0311,0.0268729156620668,0.0353270843379332
"FA_Tim","FA_Tim",0.8062,0.756930213700484,0.855469786299516,"FA_Tim",0.2571,0.239567994467261,0.274632005532739
