"","Baetis","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2497,0.188593414499745,0.310806585500255,"DS_Tim",0.1416,0.0970662508652146,0.186133749134785
"DS_Mag_50","DS_Mag_50",0.25986,0.214234229449794,0.305485770550205,"DS_Mag_50",0.18052,0.140501630702888,0.220538369297112
"DS_Mag_90","DS_Mag_90",0.35156,0.23689380920559,0.46622619079441,"DS_Mag_90",0.30348,0.164682994062552,0.442277005937448
"SP_ROC","SP_ROC",0.10636,0.0587745209354786,0.153945479064521,"SP_ROC",0.08328,0.0393589626807381,0.127201037319262
"SP_Dur","SP_Dur",0.61808,0.55427741441211,0.68188258558789,"SP_Dur",0.45736,0.365534224866871,0.549185775133129
"SP_Mag","SP_Mag",0.31326,0.163145340664877,0.463374659335123,"SP_Mag",0.26608,0.114157309952726,0.418002690047274
"SP_Tim","SP_Tim",0.41858,0.348395804836844,0.488764195163156,"SP_Tim",0.26412,0.18839948967948,0.33984051032052
"Wet_BFL_Dur","Wet_BFL_Dur",0.62678,0.493206919427229,0.760353080572771,"Wet_BFL_Dur",0.45604,0.317760239345015,0.594319760654985
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.22176,0.134572230337048,0.308947769662952,"Wet_BFL_Mag_10",0.16748,0.103641044328717,0.231318955671283
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.12808,0.0868830565794014,0.169276943420599,"Wet_BFL_Mag_50",0.11188,0.06870927029572,0.15505072970428
"Wet_Tim","Wet_Tim",0.26286,0.218652717050242,0.307067282949758,"Wet_Tim",0.16208,0.107196298874803,0.216963701125197
"DS_Dur_WS","DS_Dur_WS",0.16484,0.127635435477619,0.202044564522381,"DS_Dur_WS",0.10732,0.09370424099802,0.12093575900198
"Q99","Q99",0.4081,0.314571597364758,0.501628402635242,"Q99",0.29036,0.236135199891563,0.344584800108437
"FA_Dur","FA_Dur",0.05214,0.0317327323901508,0.0725472676098492,"FA_Dur",0.03436,0.0172654737181752,0.0514545262818248
"FA_Mag","FA_Mag",0.337,0.300557619143365,0.373442380856634,"FA_Mag",0.25084,0.21760821589502,0.28407178410498
"FA_Tim","FA_Tim",0.41086,0.254787505564561,0.566932494435439,"FA_Tim",0.23576,0.136563341776046,0.334956658223954
