"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.736,0.471,0.505,0.531,0.94,1,"Microtendipes","glm"
"2",2,0.788,0.577,0.575,0.919,0.658,1,"Microtendipes","glm"
"3",3,0.823,0.646,0.579,0.967,0.679,1,"Microtendipes","glm"
"4",4,0.743,0.487,0.507,0.576,0.911,1,"Microtendipes","glm"
"5",5,0.596,0.193,0.215,0.273,0.92,1,"Microtendipes","glm"
"6",6,0.818,0.637,0.609,0.941,0.696,1,"Microtendipes","glm"
"7",7,0.8,0.601,0.579,0.895,0.706,1,"Microtendipes","glm"
"8",8,0.827,0.654,0.575,1,0.654,1,"Microtendipes","glm"
"9",9,0.805,0.61,0.594,0.974,0.636,1,"Microtendipes","glm"
"10",10,0.685,0.37,0.436,0.37,1,1,"Microtendipes","glm"
"11",11,0.986,0.88,0.851,1,0.88,0.5,"Microtendipes","tree"
"12",12,0.977,0.813,0.813,0.892,0.921,0.625,"Microtendipes","tree"
"13",13,0.947,0.764,0.727,0.933,0.83,0.428571428571429,"Microtendipes","tree"
"14",14,0.965,0.82,0.817,0.909,0.911,0.571428571428571,"Microtendipes","tree"
"15",15,0.972,0.799,0.799,0.879,0.92,0.6,"Microtendipes","tree"
"16",16,0.964,0.825,0.822,0.912,0.913,0.6,"Microtendipes","tree"
"17",17,0.969,0.796,0.813,0.816,0.98,0.857142857142857,"Microtendipes","tree"
"18",18,0.971,0.792,0.747,0.966,0.827,0.4,"Microtendipes","tree"
"19",19,0.942,0.706,0.706,0.842,0.864,0.571428571428571,"Microtendipes","tree"
"20",20,0.972,0.848,0.811,0.963,0.885,0.571428571428571,"Microtendipes","tree"
"21",21,0.956,0.826,0.822,0.906,0.92,0.452755689517387,"Microtendipes","brt"
"22",22,0.951,0.813,0.813,0.892,0.921,0.516358066265839,"Microtendipes","brt"
"23",23,0.965,0.81,0.816,0.867,0.943,0.563991056139837,"Microtendipes","brt"
"24",24,0.95,0.743,0.759,0.788,0.956,0.555619599420227,"Microtendipes","brt"
"25",25,0.929,0.769,0.754,0.909,0.86,0.46972685199519,"Microtendipes","brt"
"26",26,0.952,0.832,0.823,0.941,0.891,0.451836909264472,"Microtendipes","brt"
"27",27,0.932,0.77,0.77,0.868,0.902,0.511555224845113,"Microtendipes","brt"
"28",28,0.956,0.785,0.785,0.862,0.923,0.483245667056681,"Microtendipes","brt"
"29",29,0.942,0.743,0.734,0.947,0.795,0.491826821507128,"Microtendipes","brt"
"30",30,0.962,0.796,0.825,0.815,0.981,0.472189154695265,"Microtendipes","brt"
"31",31,0.912,0.8,0.757,1,0.8,0.534221496596324,"Microtendipes","fda"
"32",32,0.868,0.71,0.708,0.973,0.737,0.676810521729791,"Microtendipes","fda"
"33",33,0.911,0.797,0.753,0.967,0.83,0.628099122835062,"Microtendipes","fda"
"34",34,0.915,0.711,0.676,1,0.711,0.565560330995069,"Microtendipes","fda"
"35",35,0.854,0.65,0.603,0.97,0.68,0.538136921765809,"Microtendipes","fda"
"36",36,0.896,0.789,0.774,0.941,0.848,0.652066913168376,"Microtendipes","fda"
"37",37,0.859,0.653,0.626,0.947,0.706,0.544745972654768,"Microtendipes","fda"
"38",38,0.882,0.673,0.596,1,0.673,0.406235796789586,"Microtendipes","fda"
"39",39,0.858,0.656,0.641,0.974,0.682,0.572021838334679,"Microtendipes","fda"
"40",40,0.912,0.676,0.616,0.926,0.75,0.521410472228942,"Microtendipes","fda"
"41",41,0.941,0.86,0.827,1,0.86,0.596629977226257,"Microtendipes","rbf"
"42",42,0.882,0.736,0.734,0.973,0.763,0.628994345664978,"Microtendipes","rbf"
"43",43,0.92,0.778,0.73,0.967,0.811,0.560584962368011,"Microtendipes","rbf"
"44",44,0.908,0.689,0.652,1,0.689,0.456003278493881,"Microtendipes","rbf"
"45",45,0.836,0.64,0.586,1,0.64,0.390101969242096,"Microtendipes","rbf"
"46",46,0.878,0.702,0.679,0.941,0.761,0.604295432567596,"Microtendipes","rbf"
"47",47,0.83,0.66,0.628,0.974,0.686,0.485379248857498,"Microtendipes","rbf"
"48",48,0.865,0.654,0.575,1,0.654,0.321309149265289,"Microtendipes","rbf"
"49",49,0.871,0.694,0.685,0.921,0.773,0.63078099489212,"Microtendipes","rbf"
"50",50,0.885,0.655,0.578,0.963,0.692,0.459382474422455,"Microtendipes","rbf"
