"","Atrichopogon","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.22814,0.118945720249182,0.337334279750818,"DS_Tim",0.05684,0.0092022514092028,0.104477748590797
"DS_Mag_50","DS_Mag_50",0.42574,0.337706719459059,0.513773280540941,"DS_Mag_50",0.08852,0.0600091909409782,0.117030809059022
"DS_Mag_90","DS_Mag_90",0.31402,0.203847962609835,0.424192037390165,"DS_Mag_90",0.05212,0.029438599179063,0.074801400820937
"SP_ROC","SP_ROC",0.3202,0.11149569771205,0.52890430228795,"SP_ROC",0.11752,0.0300865990413275,0.204953400958673
"SP_Dur","SP_Dur",0.2515,0.161071333043664,0.341928666956336,"SP_Dur",0.028,0.0219919525634363,0.0340080474365637
"SP_Mag","SP_Mag",0.389,0.335025593629943,0.442974406370057,"SP_Mag",0.09684,0.0808015881459541,0.112878411854046
"SP_Tim","SP_Tim",0.2046,0.0941955784784867,0.315004421521513,"SP_Tim",0.06048,0.00687872104884064,0.114081278951159
"Wet_BFL_Dur","Wet_BFL_Dur",0.27422,0.108850747981373,0.439589252018626,"Wet_BFL_Dur",0.06624,0.0158979713678521,0.116582028632148
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.07662,0.0429278159256483,0.110312184074352,"Wet_BFL_Mag_10",0.02896,0.00838683780261285,0.0495331621973872
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.23958,0.16938284045134,0.30977715954866,"Wet_BFL_Mag_50",0.04448,0.0272405492778917,0.0617194507221083
"Wet_Tim","Wet_Tim",0.25754,0.162360778705119,0.352719221294881,"Wet_Tim",0.07804,0.0469436873439953,0.109136312656005
"DS_Dur_WS","DS_Dur_WS",0.27878,0.218933190488548,0.338626809511452,"DS_Dur_WS",0.03432,0.015832695458775,0.052807304541225
"Q99","Q99",0.35654,0.254364627097328,0.458715372902672,"Q99",0.02664,0.0150129700783046,0.0382670299216954
"FA_Dur","FA_Dur",0.59976,0.411335861024125,0.788184138975875,"FA_Dur",0.1712,0.0800711969243533,0.262328803075647
"FA_Mag","FA_Mag",0.23588,0.138820156085537,0.332939843914463,"FA_Mag",0.02988,0.0189290535934103,0.0408309464065897
"FA_Tim","FA_Tim",0.1464,0.0400516717409249,0.252748328259075,"FA_Tim",0.01372,0.00235018376577704,0.025089816234223
