"","Gumaga","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.3754,0.293592823392443,0.457207176607557,"DS_Tim",0.216,0.139288532043768,0.292711467956232
"DS_Mag_50","DS_Mag_50",0.2534,0.187215590986245,0.319584409013755,"DS_Mag_50",0.11784,0.0773196722767449,0.158360327723255
"DS_Mag_90","DS_Mag_90",0.29556,0.258879308890099,0.332240691109901,"DS_Mag_90",0.16516,0.129654341679107,0.200665658320893
"SP_ROC","SP_ROC",0.11568,0.0183053277504874,0.213054672249513,"SP_ROC",0.03224,0.0135897992289627,0.0508902007710373
"SP_Dur","SP_Dur",0.32088,0.226131823082447,0.415628176917553,"SP_Dur",0.14344,0.0824104104978577,0.204469589502142
"SP_Mag","SP_Mag",0.3201,0.253718064938569,0.386481935061431,"SP_Mag",0.19904,0.131309293811448,0.266770706188552
"SP_Tim","SP_Tim",0.24912,0.111409135602161,0.386830864397839,"SP_Tim",0.09852,0.0615126644406815,0.135527335559319
"Wet_BFL_Dur","Wet_BFL_Dur",0.36504,0.253457819064602,0.476622180935398,"Wet_BFL_Dur",0.1848,0.111465479615668,0.258134520384332
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.08186,0.0266348848231169,0.137085115176883,"Wet_BFL_Mag_10",0.05672,0.0144072246573213,0.0990327753426787
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.12202,0.0659082666485876,0.178131733351412,"Wet_BFL_Mag_50",0.03984,0.0232067697424703,0.0564732302575296
"Wet_Tim","Wet_Tim",0.47416,0.3148850323111,0.6334349676889,"Wet_Tim",0.27984,0.153641369940875,0.406038630059125
"DS_Dur_WS","DS_Dur_WS",0.22394,0.169593304987332,0.278286695012668,"DS_Dur_WS",0.11536,0.0789657369520964,0.151754263047904
"Q99","Q99",0.37996,0.290174257976002,0.469745742023998,"Q99",0.24572,0.156647363858478,0.334792636141522
"FA_Dur","FA_Dur",0.13038,0.0992741570167276,0.161485842983272,"FA_Dur",0.04384,0.0236078768588168,0.0640721231411832
"FA_Mag","FA_Mag",0.23792,0.13750475776955,0.33833524223045,"FA_Mag",0.10316,0.0449444777159906,0.161375522284009
"FA_Tim","FA_Tim",0.18402,0.134564950311419,0.233475049688581,"FA_Tim",0.09072,0.0559553650213324,0.125484634978668
