"","Peltodytes","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.43904,0.312913949553235,0.565166050446765,"DS_Tim",0.19556,0.120581116474036,0.270538883525963
"DS_Mag_50","DS_Mag_50",0.25514,0.163647128357997,0.346632871642003,"DS_Mag_50",0.13124,0.0607919244634745,0.201688075536525
"DS_Mag_90","DS_Mag_90",0.39788,0.319023109339133,0.476736890660867,"DS_Mag_90",0.15048,0.0897883776687425,0.211171622331258
"SP_ROC","SP_ROC",0.22672,0.164454915087186,0.288985084912814,"SP_ROC",0.11156,0.0601885346052889,0.162931465394711
"SP_Dur","SP_Dur",0.44266,0.305548632878962,0.579771367121038,"SP_Dur",0.12732,0.0653453005396557,0.189294699460344
"SP_Mag","SP_Mag",0.42284,0.319483843406404,0.526196156593596,"SP_Mag",0.16284,0.090496900489404,0.235183099510596
"SP_Tim","SP_Tim",0.44086,0.407811514182946,0.473908485817054,"SP_Tim",0.1752,0.119070205915218,0.231329794084782
"Wet_BFL_Dur","Wet_BFL_Dur",0.54196,0.39034806278594,0.69357193721406,"Wet_BFL_Dur",0.31524,0.21729598869354,0.41318401130646
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.24862,0.144414611078889,0.352825388921111,"Wet_BFL_Mag_10",0.13824,0.0678240368751517,0.208655963124848
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.27282,0.143905873087159,0.401734126912841,"Wet_BFL_Mag_50",0.12772,0.0580310912899334,0.197408908710067
"Wet_Tim","Wet_Tim",0.26892,0.123188713730716,0.414651286269284,"Wet_Tim",0.09412,0.038383901094533,0.149856098905467
"DS_Dur_WS","DS_Dur_WS",0.27558,0.183693061762294,0.367466938237706,"DS_Dur_WS",0.12768,0.0610271531500717,0.194332846849928
"Q99","Q99",0.5115,0.417588409586463,0.605411590413537,"Q99",0.21016,0.121610305123055,0.298709694876945
"FA_Dur","FA_Dur",0.2602,0.0917646577956396,0.42863534220436,"FA_Dur",0.09968,0.0425912525693548,0.156768747430645
"FA_Mag","FA_Mag",0.44154,0.310746770766603,0.572333229233397,"FA_Mag",0.21316,0.105144095028556,0.321175904971444
"FA_Tim","FA_Tim",0.26918,0.187462973104132,0.350897026895868,"FA_Tim",0.09916,0.0607146736936725,0.137605326306328
