"","Nemouridae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.13935,0.0934748245452947,0.185225175454705,"DS_Tim",0.0541,0.0338375273308842,0.0743624726691158
"DS_Mag_50","DS_Mag_50",0.297375,0.253130769789535,0.341619230210465,"DS_Mag_50",0.07785,0.0601581045767655,0.0955418954232345
"DS_Mag_90","DS_Mag_90",0.304125,0.270070496466449,0.338179503533551,"DS_Mag_90",0.09305,0.0566963257290271,0.129403674270973
"SP_ROC","SP_ROC",0.06915,0.0329609981117651,0.105339001888235,"SP_ROC",0.03745,0.0186876063094284,0.0562123936905716
"SP_Dur","SP_Dur",0.379075,0.270924630084236,0.487225369915764,"SP_Dur",0.0874,0.0445898129880282,0.130210187011972
"SP_Mag","SP_Mag",0.345075,0.21327745171887,0.47687254828113,"SP_Mag",0.09385,0.0573059962282912,0.130394003771709
"SP_Tim","SP_Tim",0.295075,0.194877221470484,0.395272778529516,"SP_Tim",0.07365,0.0381498804368211,0.109150119563179
"Wet_BFL_Dur","Wet_BFL_Dur",0.455625,0.263564661943831,0.647685338056169,"Wet_BFL_Dur",0.19615,0.0646601365389712,0.327639863461029
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.13815,0.0577964688579276,0.218503531142072,"Wet_BFL_Mag_10",0.0259,0.0182415649118113,0.0335584350881887
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.211825,0.154001174596884,0.269648825403116,"Wet_BFL_Mag_50",0.0525,0.0327557359215391,0.0722442640784609
"Wet_Tim","Wet_Tim",0.281875,0.186685302674519,0.377064697325481,"Wet_Tim",0.0835,0.0212331772985538,0.145766822701446
"DS_Dur_WS","DS_Dur_WS",0.165225,0.108367720622158,0.222082279377842,"DS_Dur_WS",0.05635,0.0304381408681919,0.0822618591318081
"Q99","Q99",0.38635,0.346327957027824,0.426372042972176,"Q99",0.1379,0.0964607528221534,0.179339247177847
"FA_Dur","FA_Dur",0.41915,0.268252117908611,0.570047882091389,"FA_Dur",0.07715,0.0614269034962363,0.0928730965037637
"FA_Mag","FA_Mag",0.25345,0.196784972616848,0.310115027383152,"FA_Mag",0.0627,0.0514604352990578,0.0739395647009422
"FA_Tim","FA_Tim",0.306,0.147044327271196,0.464955672728804,"FA_Tim",0.1057,0.0693123391426892,0.142087660857311
