"","Chironomus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.20238,0.090771732890435,0.313988267109565,"DS_Tim",0.13004,0.0584981071483288,0.201581892851671
"DS_Mag_50","DS_Mag_50",0.27528,0.188456490861058,0.362103509138942,"DS_Mag_50",0.20684,0.121569344573881,0.292110655426119
"DS_Mag_90","DS_Mag_90",0.26304,0.193330902965969,0.332749097034031,"DS_Mag_90",0.21304,0.149399453437294,0.276680546562706
"SP_ROC","SP_ROC",0.107,0.0956962299430677,0.118303770056932,"SP_ROC",0.08868,0.0752773399953591,0.102082660004641
"SP_Dur","SP_Dur",0.49624,0.356143513101506,0.636336486898494,"SP_Dur",0.34876,0.237632874180963,0.459887125819037
"SP_Mag","SP_Mag",0.47908,0.35563011144922,0.60252988855078,"SP_Mag",0.38804,0.258259091739964,0.517820908260036
"SP_Tim","SP_Tim",0.44588,0.40428812862229,0.48747187137771,"SP_Tim",0.30996,0.271941784460604,0.347978215539396
"Wet_BFL_Dur","Wet_BFL_Dur",0.72006,0.645090627715046,0.795029372284954,"Wet_BFL_Dur",0.52852,0.418730284647422,0.638309715352578
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.23966,0.155783488023762,0.323536511976238,"Wet_BFL_Mag_10",0.19324,0.111699777392995,0.274780222607005
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.24734,0.200833325846713,0.293846674153287,"Wet_BFL_Mag_50",0.18972,0.138092431752018,0.241347568247982
"Wet_Tim","Wet_Tim",0.35686,0.258914432066581,0.454805567933419,"Wet_Tim",0.24416,0.217651280777827,0.270668719222173
"DS_Dur_WS","DS_Dur_WS",0.0806,0.0222546812846138,0.138945318715386,"DS_Dur_WS",0.0514,0.0140673376518631,0.0887326623481369
"Q99","Q99",0.34494,0.204715108369448,0.485164891630552,"Q99",0.2846,0.169761247455399,0.3994387525446
"FA_Dur","FA_Dur",0.14816,0.0620168530508665,0.234303146949133,"FA_Dur",0.08608,0.0568118935152955,0.115348106484704
"FA_Mag","FA_Mag",0.1742,0.151778631208153,0.196621368791847,"FA_Mag",0.12956,0.0910258442054325,0.168094155794568
"FA_Tim","FA_Tim",0.20272,0.126839363512817,0.278600636487183,"FA_Tim",0.122,0.0856513125133795,0.15834868748662
