"","Coenagrionidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.20116,0.140948742976915,0.261371257023085,"DS_Tim",0.1144,0.068167363951425,0.160632636048575
"DS_Mag_50","DS_Mag_50",0.30836,0.232033218878954,0.384686781121046,"DS_Mag_50",0.22936,0.131747562550667,0.326972437449333
"DS_Mag_90","DS_Mag_90",0.55894,0.475511448251812,0.642368551748188,"DS_Mag_90",0.42348,0.324973775266738,0.521986224733262
"SP_ROC","SP_ROC",0.08616,0.0317985179718213,0.140521482028179,"SP_ROC",0.05056,0.0166020878910378,0.0845179121089622
"SP_Dur","SP_Dur",0.36828,0.323675633468235,0.412884366531765,"SP_Dur",0.20352,0.162335239114449,0.244704760885551
"SP_Mag","SP_Mag",0.18818,0.155603651674873,0.220756348325127,"SP_Mag",0.1202,0.073717152647455,0.166682847352545
"SP_Tim","SP_Tim",0.3059,0.185723431720239,0.426076568279761,"SP_Tim",0.21336,0.129084518376932,0.297635481623068
"Wet_BFL_Dur","Wet_BFL_Dur",0.43806,0.329479612041124,0.546640387958876,"Wet_BFL_Dur",0.27972,0.162525938788691,0.396914061211309
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.1344,0.0808247681992882,0.187975231800712,"Wet_BFL_Mag_10",0.07812,0.0524534838125623,0.103786516187438
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.1933,0.12232952588576,0.26427047411424,"Wet_BFL_Mag_50",0.12672,0.0658053489117766,0.187634651088223
"Wet_Tim","Wet_Tim",0.15366,0.034411809628825,0.272908190371175,"Wet_Tim",0.07876,0.0241067697679268,0.133413230232073
"DS_Dur_WS","DS_Dur_WS",0.2318,0.162782417207642,0.300817582792358,"DS_Dur_WS",0.11256,0.0643674898682378,0.160752510131762
"Q99","Q99",0.28268,0.22993624659071,0.33542375340929,"Q99",0.21748,0.17641357971286,0.25854642028714
"FA_Dur","FA_Dur",0.0912,0.0115185719944729,0.170881428005527,"FA_Dur",0.07936,0.0214890956282866,0.137230904371713
"FA_Mag","FA_Mag",0.28988,0.221766682886531,0.357993317113469,"FA_Mag",0.1904,0.122736801479682,0.258063198520318
"FA_Tim","FA_Tim",0.20742,0.132097712251286,0.282742287748714,"FA_Tim",0.12032,0.0657769644849134,0.174863035515087
