"","species","weighted_TSS","weighted_SENS","mean_TSS","mean_SENS","TSS_SE","SENS_SE"
"1","Ablabesmyia",0.692553356414106,0.850529918196023,0.65278,0.81812,0.0161942911751847,0.0189498076001
"2","Acari",0.781718407261332,0.894234048300827,0.74036,0.85836,0.0249980041652308,0.028062550540839
"3","Agabus",0.768806203695164,0.926774785575948,0.6776875,0.833354166666667,0.0362467919374053,0.0420392683025983
"4","Agapetus",0.733532463175872,0.917384556738129,0.65582,0.84446,0.0322507356663442,0.0360401047587324
"5","Alotanypus",0.718780040733198,0.86562268662003,0.67758,0.8367,0.0238688267368951,0.0255655420199829
"6","Apedilum",0.674430231474289,0.835026285536741,0.6437,0.819,0.0200921601118243,0.023209480821423
"7","Argia",0.679789187227866,0.870108369617803,0.66144,0.8658,0.0157382196954952,0.0144154678829969
"8","Atractides",0.709118118299,0.910137061799783,0.66408,0.88658,0.0247059910110227,0.0218776764426804
"9","Atrichopogon",0.76590381696554,0.906010427792456,0.71156,0.84994,0.0280920085956625,0.0323295834700501
"10","Baetidae",0.716367851185043,0.903098108337792,0.63542,0.81184,0.0323992578650203,0.041455256036614
"11","Baetis",0.719354309165527,0.840037135202918,0.70176,0.83482,0.0158738537429655,0.013134024671883
